ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756091451100000000,113269.4,113528.39,0.12002,1e-05,113398.895,258.99,113528.368423
1756091451150000000,113269.4,113528.39,0.12002,1e-05,113398.895,258.99,113528.368423
1756091451200000000,113269.4,113528.39,0.12002,1e-05,113398.895,258.99,113528.368423
1756091451250000000,113269.4,113528.39,0.12002,1e-05,113398.895,258.99,113528.368423
1756091451300000000,113269.41,113528.39,0.00829,1e-05,113398.9,258.98,113528.077976
1756091451350000000,113269.41,113528.39,0.00829,1e-05,113398.9,258.98,113528.077976
1756091451400000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451450000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451500000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451550000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451600000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451650000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451700000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451750000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451800000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451850000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451900000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091451950000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452000000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452050000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452100000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452150000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452200000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452250000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452300000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
